title,content,url
AnyDBM_File,-provideframeworkformultipleDBMs,https://perldoc.perl.org/5.32.0/AnyDBM_File.html
App::Cpan,-easilyinteractwithCPANfromthecommandline,https://perldoc.perl.org/5.32.0/App/Cpan.html
App::Prove,-Implementstheprovecommand.,https://perldoc.perl.org/5.32.0/App/Prove.html
App::Prove::State,-Statestoragefortheprovecommand.,https://perldoc.perl.org/5.32.0/App/Prove/State.html
App::Prove::State::Result,-Individualtestsuiteresults.,https://perldoc.perl.org/5.32.0/App/Prove/State/Result.html
App::Prove::State::Result::Test,-Individualtestresults.,https://perldoc.perl.org/5.32.0/App/Prove/State/Result/Test.html
Archive::Tar,-moduleformanipulationsoftararchives,https://perldoc.perl.org/5.32.0/Archive/Tar.html
Archive::Tar::File,-asubclassforin-memoryextractedfilefromArchive::Tar,https://perldoc.perl.org/5.32.0/Archive/Tar/File.html
Attribute::Handlers,-Simplerdefinitionofattributehandlers,https://perldoc.perl.org/5.32.0/Attribute/Handlers.html
AutoLoader,-loadsubroutinesonlyondemand,https://perldoc.perl.org/5.32.0/AutoLoader.html
AutoSplit,-splitapackageforautoloading,https://perldoc.perl.org/5.32.0/AutoSplit.html
B,-ThePerlCompilerBackend,https://perldoc.perl.org/5.32.0/B.html
B::Concise,"-WalkPerlsyntaxtree,printingconciseinfoaboutops",https://perldoc.perl.org/5.32.0/B/Concise.html
B::Deparse,-Perlcompilerbackendtoproduceperlcode,https://perldoc.perl.org/5.32.0/B/Deparse.html
B::Op_private,-OPop_privateflagdefinitions,https://perldoc.perl.org/5.32.0/B/Op_private.html
B::Showlex,-Showlexicalvariablesusedinfunctionsorfiles,https://perldoc.perl.org/5.32.0/B/Showlex.html
B::Terse,"-WalkPerlsyntaxtree,printingterseinfoaboutops",https://perldoc.perl.org/5.32.0/B/Terse.html
B::Xref,-GeneratescrossreferencereportsforPerlprograms,https://perldoc.perl.org/5.32.0/B/Xref.html
Benchmark,-benchmarkrunningtimesofPerlcode,https://perldoc.perl.org/5.32.0/Benchmark.html
Carp,-alternativewarnanddieformodules,https://perldoc.perl.org/5.32.0/Carp.html
Class::Struct,-declarestruct-likedatatypesasPerlclasses,https://perldoc.perl.org/5.32.0/Class/Struct.html
Compress::Raw::Bzip2,-Low-LevelInterfacetobzip2compressionlibrary,https://perldoc.perl.org/5.32.0/Compress/Raw/Bzip2.html
Compress::Raw::Zlib,-Low-LevelInterfacetozlibcompressionlibrary,https://perldoc.perl.org/5.32.0/Compress/Raw/Zlib.html
Compress::Zlib,-Interfacetozlibcompressionlibrary,https://perldoc.perl.org/5.32.0/Compress/Zlib.html
Config,-=forcommentGeneratedbyconfigpm.Anychangesmadeherewillbelost!,https://perldoc.perl.org/5.32.0/Config.html
